Entry	Gene ontology IDs
EDO45895	GO:0005829,  GO:0016020,  GO:0040037,  GO:0043407,  GO:0046580,  GO:0048513
EDO41580	GO:0003723,  GO:0003735,  GO:0006412,  GO:0022625
EDO44686	GO:0004483,  GO:0005634,  GO:0005737,  GO:0006370,  GO:0097309,  GO:0097310
EDO47691	GO:0005634,  GO:0031593
EDO31289	GO:0008270
EDO38907	
EDO46287	
EDO36713	GO:0005483,  GO:0005774,  GO:0006886,  GO:0019905,  GO:0031201
EDO42072	GO:0004888,  GO:0005887,  GO:0007165,  GO:0007268,  GO:0022848,  GO:0030054,  GO:0034220,  GO:0042391,  GO:0043005,  GO:0045202,  GO:0045211,  GO:0050877
EDO49439	
EDO46947	GO:0003779
KII67060	GO:0005739,  GO:0005840
EDO31573	GO:0016021
EDO36725	GO:0000978,  GO:0003700,  GO:0005634,  GO:0043565
EDO47360	GO:0005737,  GO:0005975,  GO:0009051,  GO:0017057
EDO32793	GO:0003676,  GO:0005634,  GO:0006351,  GO:0006355,  GO:0008270
EDO39107	GO:0016021
EDO38555	GO:0008467
EDO30437	GO:0008467
EDO39548	
EDO48883	GO:0008299,  GO:0016740
EDO34288	GO:0004930,  GO:0016021
EDO47986	GO:0004930,  GO:0016021
EDO35690	GO:0005783,  GO:0012505,  GO:0016021,  GO:0016746,  GO:0036149
EDO46517	
EDO41132	
EDO40303	GO:0005509
EDO31478	GO:0005509
EDO31212	GO:0003735,  GO:0005763,  GO:0006412
EDO44376	GO:0004222,  GO:0008270
EDO38881	GO:0008170
EDO43344	GO:0005085,  GO:0007264,  GO:0033138
EDO34703	GO:0005112,  GO:0005509
EDO32425	
KII63833	GO:0003676,  GO:0004190,  GO:0008270,  GO:0015074
KII71712	GO:0008168,  GO:0032259
EDO29560	
EDO37110	GO:0004132,  GO:0005737,  GO:0006226,  GO:0006231,  GO:0008270
EDO30468	
EDO37603	GO:0003777,  GO:0005871
EDO44373	GO:0016021
EDO41089	GO:0005783,  GO:0005794,  GO:0006612,  GO:0016021,  GO:0018230,  GO:0019706
EDO40963	GO:0002181,  GO:0003723,  GO:0003735,  GO:0022625
EDO32488	GO:0004190
EDO45205	GO:0008237
EDO43690	
EDO37895	GO:0005634,  GO:0006511,  GO:0008270,  GO:0019788,  GO:0031146,  GO:0031461,  GO:0031462,  GO:0031463,  GO:0031467,  GO:0043224,  GO:0045116,  GO:0061630,  GO:0080008,  GO:0097602
EDO33026	GO:0000408,  GO:0004674,  GO:0005524,  GO:0005634,  GO:0006468,  GO:0070525
EDO45262	GO:0016021
EDO42389	
EDO44172	
EDO48911	GO:0005856
EDO36757	GO:0003924,  GO:0005525,  GO:0005802,  GO:0006886,  GO:0012505,  GO:0016192,  GO:0032438,  GO:0032482,  GO:0042470
EDO41767	GO:0005509,  GO:0005886,  GO:0007156,  GO:0016021,  GO:0098609
EDO41295	GO:0003755
EDO42412	GO:0003755,  GO:0016018,  GO:0042026,  GO:0043021,  GO:0045070,  GO:0051082
EDO35443	GO:0005623,  GO:0005887,  GO:0006884,  GO:0007268,  GO:0015379,  GO:0045202,  GO:0055064,  GO:0055075,  GO:0071477,  GO:1902476,  GO:1990573
EDO27812	GO:0016021,  GO:0055085
EDO46906	GO:0005739,  GO:0008260,  GO:0046952
EDO42666	
EDO36422	GO:0046872
EDO40841	GO:0004693,  GO:0005524,  GO:0005634,  GO:0006468,  GO:0007346,  GO:0010468
KII73937	GO:0003676
EDO38975	GO:0005509
EDO45805	GO:0005615,  GO:0009986
EDO33368	GO:0003677,  GO:0003899,  GO:0005736,  GO:0006360,  GO:0032549
KII74828	
EDO40485	GO:0008324,  GO:0016021
EDO32422	
EDO47715	GO:0008270
EDO39978	GO:0000276,  GO:0015078,  GO:0015986
EDO44879	GO:0005739,  GO:0006744,  GO:0015039,  GO:0016491
EDO49320	GO:0005328,  GO:0005886,  GO:0016021
EDO31407	GO:0016021
EDO38303	GO:0003677,  GO:0003700,  GO:0005634
EDO39530	GO:0003700,  GO:0035497
EDO41082	GO:0003676
EDO28717	GO:0005384,  GO:0005794,  GO:0015085,  GO:0016021,  GO:0032468,  GO:0032472,  GO:0046873,  GO:0070588,  GO:0071421
EDO32410	GO:0018812,  GO:0030148,  GO:0030176,  GO:0030497,  GO:0042761,  GO:0102158,  GO:0102343,  GO:0102344,  GO:0102345
EDO33412	
EDO43082	GO:0004521
EDO32230	GO:0005506,  GO:0006707,  GO:0016021,  GO:0020037,  GO:0033781
EDO40796	
EDO37215	GO:0005509
EDO36071	
EDO32263	
EDO37518	
EDO32559	GO:0000118,  GO:0004407,  GO:0032041,  GO:0045944,  GO:0046872,  GO:0070932,  GO:0070933
